% Model,tutorial_comsol_projeto1.mph
% Version,COMSOL 6.3.0.420
% Date,"Aug 30 2025, 19:06"
% Table,Accumulated Probe Table 3 - 
% gap (m),Effective_mode_index (1),C12,C21,X11,X22,K12,K21
4.22751677852349E-7,1.4988027009900187+2.2245236685322736E-9i,-3.354871239962955E-5-1.9845798572916647E-9i,-3.3542531324250864E-5+1.9842142147135965E-9i,8267650.279561662,7946413.362013795,-309.8387167468316-0.026096472953315575i,1.6221772763330702-8.226955404830385E-5i
4.22751677852349E-7,2.404163420507527,-3.354871239962955E-5-1.9845798572916647E-9i,-3.3542531324250864E-5+1.9842142147135965E-9i,8267650.279561662,7946413.362013795,-309.8387167468316-0.026096472953315575i,1.6221772763330702-8.226955404830385E-5i
4.3281879194630874E-7,1.4988027009900218+2.224521243640357E-9i,-4.448727145006598E-5-2.2101887557257163E-9i,-4.447980860554309E-5+2.209817991358461E-9i,8267618.33876827,7946513.717912645,-301.51228174123145-0.027415691096337017i,1.4212015488697884-7.455442429780745E-5i
4.3281879194630874E-7,2.404163420507528+9.694890127900826E-16i,-4.448727145006598E-5-2.2101887557257163E-9i,-4.447980860554309E-5+2.209817991358461E-9i,8267618.33876827,7946513.717912645,-301.51228174123145-0.027415691096337017i,1.4212015488697884-7.455442429780745E-5i
4.4288590604026847E-7,1.498802700990015+2.2245184145998114E-9i,-4.5758957608842935E-5-2.3024034647132494E-9i,-4.5750158895988104E-5+2.301960749493751E-9i,8267891.879212145,7946581.654591649,-307.141615704989-0.02854167798012831i,5.714298931778103-5.749301393570525E-5i
4.4288590604026847E-7,2.404163420507522,-4.5758957608842935E-5-2.3024034647132494E-9i,-4.5750158895988104E-5+2.301960749493751E-9i,8267891.879212145,7946581.654591649,-307.141615704989-0.02854167798012831i,5.714298931778103-5.749301393570525E-5i
4.5295302013422824E-7,1.4988027009900105+2.2245273058701566E-9i,-5.5765949418138914E-5-2.5170389993084873E-9i,-5.575817202507066E-5+2.5166879606931645E-9i,8267220.919766117,7946356.547678289,-328.8118023985596-0.029778899878360156i,0.006650317081194793-6.264213139564405E-5i
4.5295302013422824E-7,2.404163420507528+1.4542335191851248E-15i,-5.5765949418138914E-5-2.5170389993084873E-9i,-5.575817202507066E-5+2.5166879606931645E-9i,8267220.919766117,7946356.547678289,-328.8118023985596-0.029778899878360156i,0.006650317081194793-6.264213139564405E-5i
4.6302013422818796E-7,1.4988027009900167+2.224523668532279E-9i,-4.894147670047656E-5-2.6735747428953823E-9i,-4.893006722831192E-5+2.672951466307389E-9i,8267890.720432735,7946255.933246944,-333.51484697685663-0.031142361799782532i,-9.505012115272148-7.664849040587665E-5i
4.6302013422818796E-7,2.4041634205075257,-4.894147670047656E-5-2.6735747428953823E-9i,-4.893006722831192E-5+2.672951466307389E-9i,8267890.720432735,7946255.933246944,-333.51484697685663-0.031142361799782532i,-9.505012115272148-7.664849040587665E-5i
4.730872483221477E-7,1.4988027009900133+2.224521647789028E-9i,-5.706031718734986E-5-2.8200108527678695E-9i,-5.705127326351003E-5+2.8195638877905095E-9i,8267402.202328099,7946379.529336095,-356.91791233047473-0.032085040187912264i,-0.3232283274727612-5.051554988143863E-5i
4.730872483221477E-7,2.4041634205075257,-5.706031718734986E-5-2.8200108527678695E-9i,-5.705127326351003E-5+2.8195638877905095E-9i,8267402.202328099,7946379.529336095,-356.91791233047473-0.032085040187912264i,-0.3232283274727612-5.051554988143863E-5i
4.831543624161074E-7,1.4988027009900005+2.2245212436404043E-9i,-5.1402065088425975E-5-2.9921189940465767E-9i,-5.139369125864592E-5+2.9916315526355203E-9i,8267398.106952864,7946340.537378037,-362.1564891460254-0.03327630088732457i,-4.588691477761788-5.4153713898357504E-5i
4.831543624161074E-7,2.404163420507528-9.694890127900832E-16i,-5.1402065088425975E-5-2.9921189940465767E-9i,-5.139369125864592E-5+2.9916315526355203E-9i,8267398.106952864,7946340.537378037,-362.1564891460254-0.03327630088732457i,-4.588691477761788-5.4153713898357504E-5i
4.932214765100671E-7,1.4988027009900176+2.2245220519376705E-9i,-4.861720317512923E-5-3.120566043409872E-9i,-4.8607579549278906E-5+3.119948336958623E-9i,8267704.653214182,7946356.695676725,-378.3214587950598-0.03417911189297254i,1.1313342912666848-3.6608680046870215E-5i
